caption,image_file
"in the style of TOK, turtle, symmetric, top view", logorax1.png
"in the style of TOK, man in the shadow, symmetric, hat, circle", logorax2.png
"in the style of TOK, llama head, symmetric", logorax3.png
"in the style of TOK, eagle head, circle", logorax4.png
"in the style of TOK, pyramid with smile, symmetric", logorax5.png
"in the style of TOK, owl, symmetric", logorax6.png
"in the style of TOK, star and square, geometric, symmetric", logorax7.png
"in the style of TOK, star", logorax8.png
"in the style of TOK, swan", logorax9.png
"in the style of TOK, owl on a branch", logorax10.png
"in the style of TOK, eagle, full body", logorax11.png
"in the style of TOK, standing lion with a crown", logorax12.png
"in the style of TOK, lion head, symmetric", logorax13.png
"in the style of TOK, tree", logorax14.png
"in the style of TOK, frog, symmetric", logorax15.png
"in the style of TOK, running rabbit", logorax16.png
"in the style of TOK, elephant", logorax17.png
"in the style of TOK, bear eating fish", logorax18.png
"in the style of TOK, deer, full body", logorax19.png
"in the style of TOK, letter X", logorax20.png
"in the style of TOK, chess knight, horse, chess figure", logorax21.png
"in the style of TOK, triangle, fluid shape, roud, dynamic", logorax22.png
"in the style of TOK, love letter, mail, symmetric", logorax23.png
"in the style of TOK, arrows, symmetric", logorax24.png
"in the style of TOK, letter K, lightning bolt, storm", logorax25.png
"in the style of TOK, valley, vista", logorax26.png
"in the style of TOK, human standing, symmetric", logorax27.png
"in the style of TOK, shopping cart, lines", logorax28.png
"in the style of TOK, turtle, symmetric", logorax29.png
"in the style of TOK, star, circle, geometric, symmetric", logorax30.png
"in the style of TOK, shield, ticket in the middle of a shield, symmetric", logorax31.png
"in the style of TOK, lion head", logorax32.png
"in the style of TOK, lion head, symmetric", logorax33.png
"in the style of TOK, lion head, symmetric", logorax34.png
"in the style of TOK, lion head, lines, symmetric", logorax35.png
"in the style of TOK, leaf, desk, symmetric", logorax36.png
"in the style of TOK, circle, arrow, crossed circle", logorax37.png
"in the style of TOK, arrows, dynamic, flying, movement, symmetric", logorax38.png
"in the style of TOK, shield, star, lines", logorax39.png
"in the style of TOK, sneaker", logorax40.png
"in the style of TOK, llama head, llama, symmetric", logorax41.png
"in the style of TOK, sun, circle", logorax42.png
"in the style of TOK, shield, star, complex, symmetric", logorax43.png
"in the style of TOK, sun, symmetric", logorax44.png
"in the style of TOK, circle, arrow, symmetric", logorax45.png
"in the style of TOK, valley, rock, symmetric", logorax46.png
"in the style of TOK, tree, symmetric", logorax47.png
"in the style of TOK, swan", logorax48.png
"in the style of TOK, frog", logorax49.png
"in the style of TOK, frog", logorax50.png
"in the style of TOK, letter X", logorax51.png
"in the style of TOK, letter K", logorax52.png
"in the style of TOK, letter K", logorax53.png
"in the style of TOK, letter K", logorax54.png
"in the style of TOK, tree, lines, symmetric", logorax55.png
"in the style of TOK, tree", logorax56.png
"in the style of TOK, elephant", logorax57.png
"in the style of TOK, rabbit head, symmetric", logorax58.png
"in the style of TOK, rabbit", logorax59.png
"in the style of TOK, rabbit", logorax60.png
"in the style of TOK, eagle, spread wings, symmetric", logorax61.png
"in the style of TOK, eagle head", logorax62.png
"in the style of TOK, shield, lock, lines, symmetric", logorax63.png
"in the style of TOK, scissors, symmetric", logorax64.png
"in the style of TOK, llama", logorax65.png
"in the style of TOK, snowflake, arrows, hex, symmetric", logorax66.png
"in the style of TOK, star, geometric", logorax67.png
"in the style of TOK, desk, arrows, remote office, symmetric", logorax68.png
"in the style of TOK, geometric, shapes, symmetric", logorax69.png
"in the style of TOK, leopard head, lines, symmetric", logorax70.png
"in the style of TOK, horse, head", logorax71.png
"in the style of TOK, geometric, shapes", logorax72.png
"in the style of TOK, elk, deer, abstract", logorax73.png
"in the style of TOK, elk, antlers, symmetric", logorax74.png
"in the style of TOK, deer, antlers, symmetric", logorax75.png
"in the style of TOK, lock, symmetric", logorax76.png
"in the style of TOK, star, symmetric", logorax77.png
"in the style of TOK, shield, tower, symmetric", logorax78.png
"in the style of TOK, cloud, lines, symmetric", logorax79.png
"in the style of TOK, diamond, lines, symmetric", logorax80.png
"in the style of TOK, letter X", logorax81.png
"in the style of TOK, shapes, arrow, symmetric", logorax82.png
"in the style of TOK, shapes, circle, triangle, symmetric", logorax83.png
"in the style of TOK, turtle", logorax84.png
